"review_order","claim_group","claim_id","claim_text","claim_type","technical","jurisdiction","effective_date","scope","evidence_tier","source_ids","source_titles","limitations","current_verification_status","research_disposition","expert_decision","required_revision","supporting_source_and_locator","contrary_evidence_or_exception","expert_confidence","reviewer_name","review_date"
"11","candidate","claim-restabilization","Excess coagulant can cause charge reversal or restabilization under some water-specific conditions.","sourced_fact","yes","","","Illustrative failure mode.","technical_hypothesis_needing_full_review","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Requires an authoritative mechanism source; no universal dose threshold exists.","pending","retain_only_after_source_and_practitioner_review","","","","","","",""
"12","candidate","claim-shear","Excessive mixing energy can break floc, and the balance between growth and breakage depends on water, coagulant, dose, time, and mixing conditions.","sourced_fact","yes","","","Drinking-water coagulation and flocculation.","government_guidance_and_research","source-epa-swtr-turbidity; source-pubmed-16752769; source-aktas-2013","Surface Water Treatment Rule Turbidity Guidance Manual; Effects of velocity gradient and mixing time on particle growth in a rapid mixing tank; Influence of velocity gradient and rapid mixing time on flocs formed by polysilica iron and polyaluminum chloride","Study-specific breakage results cannot be converted into universal plant thresholds.","pending","retain","","","","","","",""
"13","rejected_or_withheld","claim-simulator-thresholds","Dose 88 and mixing energy 78 are technically meaningful thresholds for charge reversal and floc breakage.","instructional_scenario","no","","","Prototype simulator.","illustrative_interface_only","source-prototype","Coagulation vs Flocculation Concept Brief prototype","The values have no units, calibration, facility basis, or validated model.","rejected","replace_with_qualitative_controls_or_explicit_notional_scale","","","","","","",""
"14","rejected_or_withheld","claim-colloid-range","A colloid is universally defined as a nonsettling particle from 0.001 to 1 micrometre.","sourced_fact","yes","","","Original glossary definition.","supplied_prototype","source-prototype; source-tdec","Coagulation vs Flocculation Concept Brief prototype; Coagulation and Flocculation Workshop, Course 307","Size conventions vary, and settling is a rate and condition question rather than an absolute boundary.","rejected","replace_with_operational_definition_and_source","","","","","","",""
"15","candidate","claim-zeta-range","Raw water typically has zeta potential from minus 15 to minus 30 millivolts, and successful coagulation drives it toward zero.","sourced_fact","yes","","","Proposed glossary range.","supplied_prototype","source-prototype","Coagulation vs Flocculation Concept Brief prototype","No authoritative supporting locator has been confirmed; optimum zeta potential is water-specific and mechanism-specific.","pending","remove_numeric_range_and_retain_nonnumeric_facility_specific_interpretation","","","","","","",""
"16","candidate","claim-coagulant-mechanisms","Aluminum and iron coagulants can form hydrolysis products and precipitates that destabilize or capture particles through multiple mechanisms.","sourced_fact","yes","","","Introductory mechanism description.","government_guidance","source-tdec; source-epa-lt1","Coagulation and Flocculation Workshop, Course 307; Long Term 1 Enhanced Surface Water Treatment Rule Turbidity Provisions Technical Guidance Manual","Species and dominant mechanisms vary with product and water chemistry.","pending","retain_with_original_mechanism_source_upgrade","","","","","","",""
"17","rejected_or_withheld","claim-polymer-never-replaces","A polymer never replaces a primary coagulant and can only amplify it.","sourced_fact","yes","","","Original glossary definition.","supplied_prototype","source-prototype; source-tdec","Coagulation vs Flocculation Concept Brief prototype; Coagulation and Flocculation Workshop, Course 307","TDEC page 11 states that some cationic polymers can serve as a primary coagulant or a coagulant aid.","rejected","replace","","","","","","",""
"18","candidate","claim-polymer-role","Polymers may act as primary coagulants, coagulant aids, flocculants, settling aids, filter aids, or sludge conditioners depending on product and application.","sourced_fact","yes","","","Cross-process terminology.","government_training","source-tdec","Coagulation and Flocculation Workshop, Course 307","Product selection and dosing require supplier information, water testing, approved procedures, and qualified review.","pending","narrow_by_sector_product_and_application","","","","","","",""
"19","candidate","claim-g-equation","The conventional mean velocity-gradient parameter can be expressed as G equals the square root of power divided by dynamic viscosity and basin volume.","technical_standard","yes","","","Idealized bulk mixing parameter.","professional_practice_pending","source-pnws-awwa; source-tdec","Chemical Mixing, Nothing But a G Thing?; Coagulation and Flocculation Workshop, Course 307","Unit consistency, delivered power, nonuniform shear, basin geometry, and limitations of mean G must be taught.","pending","retain_qualitative_definition_and_withhold_equation_until_original_engineering_verification","","","","","","",""
"20","candidate","claim-tapered-flocculation","Tapered flocculation reduces mixing intensity through successive stages to support aggregate growth while limiting breakage.","technical_standard","yes","","","Mechanically mixed drinking-water flocculation.","government_guidance","source-epa-swtr-turbidity; source-tdec; source-virginia-code","Surface Water Treatment Rule Turbidity Guidance Manual; Coagulation and Flocculation Workshop, Course 307; 12VAC5-590-871 Coagulation and flocculation","Exact staging and intensities are design-specific.","pending","retain","","","","","","",""
"21","candidate","claim-alkalinity","Aluminum and iron salt coagulation can consume alkalinity and lower pH, affecting hydrolysis and treatment performance.","sourced_fact","yes","","","Metal-salt coagulation.","government_training_and_guidance","source-tdec; source-epa-swtr-turbidity","Coagulation and Flocculation Workshop, Course 307; Surface Water Treatment Rule Turbidity Guidance Manual","Effect depends on product basis, dose, starting alkalinity, pH, temperature, and water chemistry.","pending","retain","","","","","","",""
"22","rejected_or_withheld","claim-jar-only-defensible","A jar test is the only defensible way to set coagulant dose and is the record a regulator will request.","sourced_fact","yes","","","Original glossary statement.","supplied_prototype","source-prototype; source-epa-lt2","Coagulation vs Flocculation Concept Brief prototype; Long Term 2 Enhanced Surface Water Treatment Rule Toolbox Guidance Manual","Jar tests are important but may need filtration tests, pilot testing, full-scale confirmation, instrumentation, and jurisdiction-specific records.","rejected","replace","","","","","","",""
"23","candidate","claim-jar-purpose","Jar testing can help compare coagulation conditions, but the test should represent source-water variation and the relevant full-scale processes and may need pilot or filterability confirmation.","sourced_fact","yes","","","Process optimization and change evaluation.","government_guidance","source-epa-lt2; source-epa-swtr-turbidity","Long Term 2 Enhanced Surface Water Treatment Rule Toolbox Guidance Manual; Surface Water Treatment Rule Turbidity Guidance Manual","A jar result is not automatic authorization for a plant change.","pending","retain_decision_boundary_and_separately_source_jar_filterability_and_pilot_uses","","","","","","",""
"24","rejected_or_withheld","claim-cross-sector-same-physics","Drinking water, wastewater, stormwater, reuse, and industrial treatment use identical coagulation-flocculation practice.","sourced_fact","yes","","","Original cross-sector statement.","supplied_prototype","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Mechanisms may overlap, but objectives, waters, regulations, equipment, residuals, and risk controls differ.","rejected","replace_with_bounded_connections","","","","","","",""
"25","candidate","claim-downstream","Coagulation and flocculation performance influences clarification, solids loading, filtration, and residuals management downstream.","sourced_fact","yes","","","Conventional drinking-water treatment train.","government_guidance","source-epa-swtr-turbidity; source-epa-lt1","Surface Water Treatment Rule Turbidity Guidance Manual; Long Term 1 Enhanced Surface Water Treatment Rule Turbidity Provisions Technical Guidance Manual","Consequences depend on facility configuration and operating conditions.","pending","retain","","","","","","",""
"26","rejected_or_withheld","claim-ro-fouling","Reverse-osmosis fouling control is largely a coagulation problem solved upstream rather than at the membrane.","sourced_fact","yes","","","Original reuse and industrial statement.","supplied_prototype","source-prototype","Coagulation vs Flocculation Concept Brief prototype","RO fouling has multiple inorganic, organic, colloidal, and biological causes; pretreatment is system-specific.","rejected","remove_or_research_as_separate_brief","","","","","","",""
"27","rejected_or_withheld","claim-design-ranges-universal","Conventional design universally uses rapid-mix G of 600 to 1000 per second for 30 to 60 seconds and flocculation G of 20 to 80 per second for 20 to 60 minutes.","technical_standard","yes","","","Original design-convention table.","supplied_prototype","source-prototype; source-virginia-code; source-epa-swtr-turbidity","Coagulation vs Flocculation Concept Brief prototype; 12VAC5-590-871 Coagulation and flocculation; Surface Water Treatment Rule Turbidity Guidance Manual","Virginia provides state-specific typical rapid-mix combinations, while federal guidance and United States training references provide process context; none establishes one universal national operating range.","rejected","replace_with_jurisdiction_and_process_specific_table","","","","","","",""
"28","candidate","claim-virginia-design-basis","Virginia requires the engineer to submit the basis for selected rapid-mix G considering chemicals and water temperature, and requires coagulant application at maximum mixing intensity.","regulatory_requirement","yes","Virginia","current_page_reviewed_2026-07-25","12VAC5-590-871 rapid mix requirements.","virginia_regulation","source-virginia-code","12VAC5-590-871 Coagulation and flocculation","Applies in Virginia only and has no legal force in another state.","pending","retain_only_in_comparative_sidebar","","","","","","",""
"29","candidate","claim-us-flocculation-design-context","United States federal guidance and state references describe flocculation after coagulation, gentle or tapered mixing, sufficient contact time, and controls intended to limit aggregate breakage.","technical_standard","yes","United States","","Federal process guidance with a separately labeled Virginia state design reference and Tennessee operator training context.","us_federal_guidance_and_state_reference","source-epa-swtr-turbidity; source-epa-lt1; source-virginia-code; source-tdec","Surface Water Treatment Rule Turbidity Guidance Manual; Long Term 1 Enhanced Surface Water Treatment Rule Turbidity Provisions Technical Guidance Manual; 12VAC5-590-871 Coagulation and flocculation; Coagulation and Flocculation Workshop, Course 307","Federal guidance is not a universal design setpoint, and the state references apply only within their stated jurisdictions and purposes.","pending","preferred_local_design_context","","","","","","",""
"30","candidate","claim-park-study","In Park and colleagues' 2006 experiment, macrofloc counts at G 200 per second increased after 75 seconds, peaked at 150 seconds, and declined after 180 seconds.","sourced_fact","yes","","","The specific experimental conditions in DOI 10.2166/wst.2006.212.","peer_reviewed_research","source-pubmed-16752769","Effects of velocity gradient and mixing time on particle growth in a rapid mixing tank","Not a general optimum and not transferable without reviewing the full methods and source water.","pending","hold_numeric_sequence_until_full_methods_and_conditions_are_verified","","","","","","",""
"31","candidate","claim-aktas-study","In the Aktas study conditions, aggregation and breakup boundaries differed between polysilica iron and PACl, with maximum formation reported near G 546 and 390 per second respectively.","sourced_fact","yes","","","The specific experimental conditions in DOI 10.1080/19443994.2012.751883.","peer_reviewed_research","source-aktas-2013","Influence of velocity gradient and rapid mixing time on flocs formed by polysilica iron and polyaluminum chloride","Study thresholds are not plant-wide limits and require full technical interpretation.","pending","hold_specific_numeric_values_until_exact_original_table_or_figure_is_verified","","","","","","",""
"32","candidate","claim-energy-audit","A plant using PACl at rapid-mix G of 900 per second may be wasting energy and shearing floc, so a jar test and energy audit are indicated.","expert_interpretation","yes","","","Proposed diagnostic prompt.","unverified_application_inference","source-prototype; source-aktas-2013","Coagulation vs Flocculation Concept Brief prototype; Influence of velocity gradient and rapid mixing time on flocs formed by polysilica iron and polyaluminum chloride","It extrapolates a study-specific threshold without plant hydraulics, water quality, dose, residence time, or delivered-power data.","pending","remove_diagnosis_and_rewrite_as_site_specific_evidence_question","","","","","","",""
"33","candidate","claim-alum-reaction","An alkalinity-based teaching reaction for hydrated aluminum sulfate can show bicarbonate consumption and aluminum-hydroxide precipitation.","technical_standard","yes","","","Simplified stoichiometric teaching equation.","government_training","source-tdec","Coagulation and Flocculation Workshop, Course 307","Commercial product hydration and solution chemistry vary; a chemist must check species, balance, and notation.","pending","withhold_equation_until_authoritative_us_source_and_qualified_chemistry_review","","","","","","",""
"34","candidate","claim-ferric-reaction","A bicarbonate-based teaching reaction for ferric chloride can show alkalinity consumption, ferric-hydroxide precipitation, chloride, and carbon dioxide.","technical_standard","yes","","","Simplified stoichiometric teaching equation.","government_training","source-tdec","Coagulation and Flocculation Workshop, Course 307","Actual aqueous speciation and hydrolysis are more complex; a chemist must verify the equation and teaching boundary.","pending","remove_synthesized_equation_until_authoritative_source_and_qualified_chemistry_review","","","","","","",""
"35","candidate","claim-pin-floc","Small microfloc or pin floc after coagulation can be an intended intermediate before further aggregation and separation.","sourced_fact","yes","","","Conventional clarification sequence.","government_guidance","source-epa-lt1; source-tdec","Long Term 1 Enhanced Surface Water Treatment Rule Turbidity Provisions Technical Guidance Manual; Coagulation and Flocculation Workshop, Course 307","Appearance alone does not establish process success.","pending","narrow_term_by_sample_location_process_stage_and_downstream_result","","","","","","",""
"36","candidate","claim-pacl-pac","Polyaluminum chloride and powdered activated carbon are different treatment chemicals, and the brief should use unambiguous abbreviations.","sourced_fact","yes","","","OWOS terminology policy.","government_guidance","source-epa-pac; source-tdec","Guidance for incorporation of water treatment effects on pesticide removal and transformation; Coagulation and Flocculation Workshop, Course 307","Local industry abbreviations vary; define PACl and PAC at first use.","pending","retain","","","","","","",""
"37","candidate","claim-polymer-charge-roles","Polymer function cannot be assigned reliably from cationic, anionic, or nonionic charge class alone.","expert_interpretation","yes","","","Correction of the prototype's fixed polymer-role table.","source_based_editorial_correction","source-tdec","Coagulation and Flocculation Workshop, Course 307","Molecular weight, charge density, water chemistry, process point, product instructions, and testing matter.","pending","replace_fixed_role_table","","","","","","",""
"38","rejected_or_withheld","claim-jar-rpm-universal","Every jar test should use 100 to 300 rpm for 30 to 60 seconds, then 20 to 40 rpm, with polymer always added during flocculation.","technical_standard","yes","","","Original jar-test protocol.","supplied_prototype","source-prototype; source-tdec","Coagulation vs Flocculation Concept Brief prototype; Coagulation and Flocculation Workshop, Course 307","RPM is apparatus-specific, must be related to mixing conditions, and chemical sequence depends on the treatment program.","rejected","do_not_publish_as_protocol","","","","","","",""
"39","candidate","claim-jar-sampling","Consistent settling time and sampling depth improve comparability among jar-test results.","technical_standard","yes","","","Jar-test execution.","government_training","source-tdec","Coagulation and Flocculation Workshop, Course 307","A complete reviewed SOP must specify apparatus, mixing calibration, dosing, replication, analytical methods, and decision criteria.","pending","retain_inside_future_sop","","","","","","",""
"40","candidate","claim-dose-year-round","Coagulant dose should be reassessed when meaningful source-water or treatment conditions change rather than held fixed solely by habit.","expert_interpretation","yes","","","Optimization governance.","government_guidance","source-epa-swtr-turbidity; source-epa-lt2","Surface Water Treatment Rule Turbidity Guidance Manual; Long Term 2 Enhanced Surface Water Treatment Rule Toolbox Guidance Manual","Reassessment does not authorize an unapproved dose change.","pending","retain","","","","","","",""
"41","candidate","claim-dose-change-sop","Written, approved procedures should govern chemical changes and define the evidence, authority, limits, monitoring, and rollback conditions.","expert_interpretation","yes","","","Operational governance.","government_guidance_and_safety_boundary","source-epa-lt2","Long Term 2 Enhanced Surface Water Treatment Rule Toolbox Guidance Manual","Procedure content and sign-off roles are facility-specific and jurisdiction-specific.","pending","retain_as_owos_recommended_governance_not_universal_regulatory_requirement","","","","","","",""
"42","candidate","claim-streaming-current-proxy","Streaming-current measurement is a direct real-time substitute for zeta-potential measurement.","sourced_fact","yes","","","Proposed instrumentation explanation.","unsupported_in_prototype","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Related electrokinetic signals are not interchangeable; instrument response and control use need a dedicated source and practitioner review.","pending","reject_direct_substitute_claim_and_teach_distinct_calibrated_electrokinetic_signals","","","","","","",""
"43","candidate","claim-data-integration","Dose, raw and settled turbidity, pH, alkalinity, and relevant process signals should be available as one time-aligned, queryable dataset.","hardeep_position","no","","","OWOS data and Graph product direction.","owner_product_direction","","","Signal selection, semantics, security, quality controls, and facility architecture require design review.","pending","retain_as_product_position","","","","","","",""
"44","candidate","claim-watershed-prediction","Storm response and land-use data can predict coagulant dose before a storm reaches a plant.","unresolved_question","yes","","","Potential source-water analytics use case.","hypothesis","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Requires site data, model validation, uncertainty bounds, monitoring, and human decision authority.","pending","convert_to_research_question","","","","","","",""
"45","rejected_or_withheld","claim-no-capital","Chemical optimization always produces operating savings without capital investment and is defensible in a rate case.","commercial_claim","no","","","Original finance statement.","supplied_prototype","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Optimization may require testing, instrumentation, controls, training, engineering, residuals changes, and jurisdiction-specific rate evidence.","rejected","remove","","","","","","",""
"46","candidate","claim-role-actions","A single concept brief can provide different evidence-bounded next actions for operators, engineers, utility leaders, regulators, data teams, and finance teams.","hardeep_position","no","","","Learning and product design.","owner_product_direction","","","Actions require representative-user and role-authority review.","pending","retain","","","","","","",""
"47","candidate","claim-every-number-sourced","Every published number and material assertion in the brief will expose its evidence class, exact source locator, scope, and review status.","hardeep_position","no","","","Concept Engine evidence promise.","owos_release_policy","","","This is a release requirement, not a statement that the current working prototype already satisfies it.","pending","retain_as_governance_promise","","","","","","",""
"48","candidate","claim-evidence-boundary","The working pilot has complete supplied-claim inventory but incomplete independent and qualified review, so it must not be used as site-specific operating, engineering, or regulatory guidance.","expert_interpretation","no","","","Current package status.","repository_status","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Update after each review gate.","pending","retain_until_release","","","","","","",""
"49","candidate","claim-no-operating-advice","The working brief does not authorize a facility dose, mixing, chemical, or process change.","expert_interpretation","no","","","Use boundary.","safety_boundary","source-prototype","Coagulation vs Flocculation Concept Brief prototype","Final wording requires legal, technical, and editorial review.","pending","retain","","","","","","",""
